php-1  | [01-Oct-2025 08:58:47] NOTICE: fpm is running, pid 1
php-1  | [01-Oct-2025 08:58:47] NOTICE: ready to handle connections
php-1  | 172.18.0.4 -  01/Oct/2025:08:59:13 +0000 "GET /admin/banner_upload_test.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:59:20 +0000 "POST /admin/banner_upload_test.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:59:20 +0000 "GET /admin/login.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:59:20 +0000 "GET /admin/series.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:59:29 +0000 "GET /admin/banner_upload_test.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:59:38 +0000 "POST /admin/banner_upload_test.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:59:38 +0000 "GET /admin/login.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:59:38 +0000 "GET /admin/series.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:59:40 +0000 "GET /admin/banners.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:59:45 +0000 "GET /admin/series.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:59:46 +0000 "GET /admin/banner_upload_test.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:00:30 +0000 "GET /admin/admin_users.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:00:43 +0000 "POST /admin/admin_users.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:00:43 +0000 "GET /admin/login.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:00:43 +0000 "GET /admin/series.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:00:50 +0000 "GET /admin/admin_users.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:01:08 +0000 "POST /admin/admin_users.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:01:08 +0000 "GET /admin/login.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:01:08 +0000 "GET /admin/series.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:01:51 +0000 "GET /admin/db_browser.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:02:07 +0000 "GET /admin/banner_upload_test.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:02:07 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:02:07 +0000 "GET /admin/admin_users.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:02:07 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:02:07 +0000 "GET /admin/db_browser.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:02:07 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:06:43 +0000 "GET /admin/admin_users.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:06:51 +0000 "POST /admin/admin_users.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:06:52 +0000 "GET /admin/login.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:06:52 +0000 "GET /admin/series.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:06:56 +0000 "GET /admin/admin_users.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:07:12 +0000 "GET /admin/banners.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:07:17 +0000 "GET /admin/banners.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:07:36 +0000 "GET /admin/admin_users.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:07:37 +0000 "GET /admin/series.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:07:38 +0000 "GET /admin/admin_users.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:07:48 +0000 "POST /admin/banner_upload_test.php" 404
php-1  | 172.18.0.4 -  01/Oct/2025:09:08:57 +0000 "GET /admin/admin_users.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:09:06 +0000 "POST /admin/admin_users.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:09:06 +0000 "GET /admin/login.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:09:06 +0000 "GET /admin/series.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:09:14 +0000 "GET /admin/series.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:09:16 +0000 "GET /admin/banners.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:09:44 +0000 "POST /admin/banner_save.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:09:44 +0000 "GET /admin/banners.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:10:49 +0000 "GET /admin/banner_upload_test.php" 404
php-1  | 172.18.0.4 -  01/Oct/2025:09:11:53 +0000 "GET /admin/admin_users.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:12:03 +0000 "POST /admin/admin_users.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:12:03 +0000 "GET /admin/login.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:12:03 +0000 "GET /admin/series.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:13:00 +0000 "GET /admin/banner_upload_test.php" 404
php-1  | 172.18.0.4 -  01/Oct/2025:09:13:00 +0000 "GET /admin/admin_users.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:13:00 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:16:32 +0000 "GET /admin/banner_upload_test.php" 404
php-1  | 172.18.0.4 -  01/Oct/2025:09:16:49 +0000 "GET /admin/admin_users.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:16:58 +0000 "GET /admin/admin_users.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:18:20 +0000 "GET /admin/banner_upload_test.php" 404
php-1  | 172.18.0.4 -  01/Oct/2025:09:18:20 +0000 "GET /admin/admin_users.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:21:59 +0000 "GET /admin/banner_upload_test.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:21:59 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:21:59 +0000 "GET /admin/admin_users.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:21:59 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:22:47 +0000 "GET /admin/banner_upload_test.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:22:54 +0000 "POST /admin/banner_upload_test.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:22:54 +0000 "GET /admin/login.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:22:54 +0000 "GET /admin/series.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:23:01 +0000 "GET /admin/banner_upload_test.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:23:11 +0000 "GET /admin/admin_users.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:23:21 +0000 "POST /admin/admin_users.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:23:21 +0000 "GET /admin/login.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:23:21 +0000 "GET /admin/series.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:24:57 +0000 "POST /admin/banner_upload_test.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:24:57 +0000 "GET /admin/login.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:24:57 +0000 "GET /admin/series.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:25:03 +0000 "GET /admin/admin_users.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:25:13 +0000 "POST /admin/admin_users.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:25:13 +0000 "GET /admin/login.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:09:25:13 +0000 "GET /admin/series.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:29:07 +0000 "GET /admin/admin_users.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:29:14 +0000 "POST /admin/admin_users.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:29:26 +0000 "GET /admin/banners.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:29:54 +0000 "GET /admin/banners.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:29:58 +0000 "GET /admin/banner_edit.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:32:26 +0000 "GET /admin/banner_upload_test.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:09:32:31 +0000 "POST /admin/banner_upload_test.php" 200
